ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
112.4,114,387,590189,15,12000612,1073152,2550432
113.4,114,392,595469,15,12000612,1073152,2546864
114.4,115,395,600750,15,12000612,1073152,2365136
115.5,115,398,606070,15,12000612,1073152,2197328
116.5,116,401,611350,15,12000612,1073152,2380928
117.5,116,404,616630,15,12000612,1073152,2527296
118.5,116,408,621712,15,12000612,1073152,2642016
119.5,116,412,627032,15,12000612,1073152,2509104
120.6,117,416,632312,15,12000612,1073152,2461680
121.6,117,420,637592,15,12000612,1073152,2463520
122.6,117,424,642902,15,12000612,1073152,2460880
123.7,117,428,648192,15,12000612,1073152,2627744
124.7,118,432,653432,15,12000612,1073152,2525936
125.7,119,435,658712,15,12000612,1073152,2335392
126.7,119,439,663992,15,12000612,1073152,2435472
127.7,119,443,669272,15,12000612,1073152,2516816
128.8,119,447,674512,15,12000612,1073152,2545824
129.8,119,451,679792,15,12000612,1073152,2550064
130.8,119,455,685072,15,12000612,1073152,2579120
131.8,119,459,690352,15,12000612,1073152,2506128
132.9,119,464,695552,15,12000612,1073152,2442112
133.9,119,467,700832,15,12000612,1073152,2357584
134.9,119,471,706112,15,12000612,1073152,2508176
135.9,119,475,711392,15,12000612,1073152,2557536
136.9,119,479,716632,15,12000612,1073152,2511536
138.0,120,482,721952,15,12000612,1073152,2498864
139.0,120,485,727232,15,12000612,1073152,2396080
140.0,121,488,732512,15,12000612,1073152,2459344
141.0,121,492,737792,15,12000612,1073152,2414480
142.0,122,494,743072,15,12000612,1073152,2461648
143.1,122,498,748352,15,12000612,1073152,2443408
144.1,122,502,753673,15,12000612,1073152,2608240
145.1,122,505,758953,15,12000612,1073152,2472048
146.1,122,509,764273,15,12000612,1073152,2478720
147.2,122,512,769513,15,12000612,1073152,2440192
148.2,122,516,774793,15,12000612,1073152,2485440
149.2,123,520,780073,15,12000612,1073152,2361600
150.2,123,523,785353,15,12000612,1073152,2307696
151.2,123,526,790673,15,12000612,1073152,2375552
152.3,123,531,795873,15,12000612,1073152,2461776
153.3,123,535,801173,15,12000612,1073152,2514864
154.3,123,538,806393,15,12000612,1073152,2449392
155.3,123,542,811673,15,12000612,1073152,2518288
156.3,123,546,816793,15,12000612,1073152,2452064
157.4,123,549,822073,15,12000612,1073152,2357264
158.4,124,552,827393,15,12000612,1073152,2277760
159.4,124,554,832673,15,12000612,1073152,2368064
160.4,124,557,837988,15,12000612,1073152,2633264
161.4,125,561,843233,15,12000612,1073152,2583824
162.5,125,564,848513,15,12000612,1073152,2407248
163.5,125,568,853793,15,12000612,1073152,2219056
164.5,125,572,859073,15,12000612,1073152,2279440
165.5,125,576,864353,15,12000612,1073152,2489936
166.5,125,580,869633,15,12000612,1073152,2670576
167.6,125,584,874953,15,12000612,1073152,2514208
168.6,125,587,880233,15,12000612,1073152,2513984
169.6,125,590,885593,15,12000612,1073152,2545456
170.6,125,593,890873,15,12000612,1073152,2708576
171.7,126,597,896153,15,12000612,1073152,2571696
172.7,126,600,901473,15,12000612,1073152,2294656
173.7,126,603,906753,15,12000612,1073152,2072768
174.7,126,606,912073,15,12000612,1073152,2143344
175.7,126,609,917353,15,12000612,1073152,2413680
176.8,126,613,922628,15,12000612,1073152,2579968
177.8,126,617,927873,15,12000612,1073152,2647008
178.8,126,621,933153,15,12000612,1073152,2410912
179.8,136,630,943984,1152,12000612,21389312,2257520
180.8,144,632,946600,1904,12000612,21389312,2107200
181.9,147,640,949328,2740,12000612,21389312,2041984
182.9,155,646,952284,3609,12000612,21389312,2002592
183.9,163,653,955346,4526,12000612,21389312,1995472
184.9,179,654,958317,5379,12000612,21389312,1994960
185.9,192,658,961333,6224,12000612,21389312,1988400
187.0,212,659,964314,7106,12000612,21389312,1867376
188.0,223,663,967062,7953,12000612,21389312,1866672
189.0,235,669,970079,8826,12000612,21389312,1860096
190.0,249,670,972666,9632,12000612,21389312,1854976
191.0,263,671,975741,10519,12000612,21389312,1851072
192.1,276,674,978789,11386,12000612,21389312,1849392
193.1,287,680,981812,12269,12000612,21389312,1842512
194.1,295,687,984657,13098,12000612,21389312,1846832
195.1,311,687,987818,14013,12000612,21389312,1854528
196.2,324,689,990985,14901,12000612,21389312,1855152
197.2,340,689,994538,15914,12000612,21389312,1863632
198.2,352,691,997728,16838,12000612,21389312,1863840
199.2,368,695,1000606,17702,12000612,21389312,1850688
200.2,380,702,1003427,18516,12000612,21389312,1853760
201.3,392,706,1006359,19332,12000612,21389312,1844144
202.3,399,708,1008580,19991,12000612,21389312,1839104
203.3,411,710,1011388,20740,12000612,21389312,1810672
204.3,422,714,1014502,21574,12000612,21389312,1810256
205.3,432,717,1018047,22765,12000612,21389312,1872464
206.4,448,724,1021336,23779,12000616,21504000,1893072
207.4,458,727,1023731,24551,12000616,21504000,1884960
208.4,471,730,1026734,25399,12000616,21504000,1856304
209.4,482,734,1030113,26351,12000616,21504000,1852304
210.5,497,736,1033142,27271,12000616,21520384,1866416
211.5,512,737,1035597,28060,12000616,21684224,1847408
212.5,524,741,1038763,28940,12000616,21684224,1848816
213.5,537,743,1041554,29839,12000616,21684224,1851504
214.5,544,748,1044611,30711,12000616,21684224,1849024
215.5,553,752,1047446,31584,12000616,21684224,1841056
216.6,560,757,1050074,32425,12000616,21684224,1842816
217.6,573,760,1053009,33309,12000616,21684224,1846464
218.6,586,767,1055821,34184,12000616,21684224,1849600
219.6,597,772,1058839,35097,12000616,21684224,1843568
220.6,607,777,1061661,35943,12000616,21684224,1850448
221.7,615,783,1064579,36826,12000616,21684224,1843280
222.7,626,786,1067455,37689,12000616,21684224,1847376
223.7,638,789,1070557,38623,12000616,21684224,1856432
224.7,644,794,1073541,39499,12000616,21684224,1854336
225.7,655,799,1076505,40377,12000616,21684224,1853120
226.7,668,802,1079364,41217,12000616,21684224,1849808
227.8,678,809,1082386,42106,12000616,21684224,1842960
228.8,688,812,1084366,42768,12000616,21684224,1834672
229.8,705,815,1087185,43470,12000616,21684224,1816384
230.8,712,820,1089440,44125,12000616,21684224,1792224
231.8,723,825,1093334,45304,12000616,21684224,1852832
232.9,735,832,1096159,46555,12001519,29630464,1889856
233.9,739,833,1098359,47291,12001519,29630464,1887952
