ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
112.3,113,410,589406,32,12000612,2387968,2486128
113.4,113,414,594726,32,12000612,2387968,2370640
114.4,113,417,600006,32,12000612,2387968,2470608
115.4,114,420,605326,32,12000612,2387968,2398016
116.4,114,423,610646,32,12000612,2387968,2446464
117.4,114,427,615926,32,12000612,2387968,2418560
118.5,114,430,621206,32,12000612,2387968,2307888
119.5,114,433,626486,32,12000612,2387968,2321488
120.5,114,437,631806,32,12000612,2387968,2299424
121.5,114,441,637086,32,12000612,2387968,2426240
122.5,114,444,642406,32,12000612,2387968,2464368
123.6,114,448,647686,32,12000612,2387968,2548688
124.6,114,451,652966,32,12000612,2387968,2462432
125.6,114,455,658286,32,12000612,2387968,2428016
126.6,115,458,663566,32,12000612,2387968,2490992
127.6,115,461,668886,32,12000612,2387968,2448016
128.7,115,466,673886,32,12000612,2387968,2359328
129.7,115,469,679166,32,12000612,2387968,2480768
130.7,116,473,684446,32,12000612,2387968,2560048
131.7,116,477,689686,32,12000612,2387968,2247248
132.7,116,481,695006,32,12000612,2387968,2089200
133.8,116,485,700286,32,12000612,2387968,2065472
134.8,117,488,705566,32,12000612,2387968,2143152
135.8,117,492,710846,32,12000612,2387968,2260224
136.8,117,496,716166,32,12000612,2387968,2486320
137.9,118,499,721456,32,12000612,2387968,2428368
138.9,118,502,726766,32,12000612,2387968,2404976
139.9,118,506,732046,32,12000612,2387968,2324704
140.9,118,510,737356,32,12000612,2387968,2389104
142.0,118,514,742646,32,12000612,2387968,2475216
143.0,118,518,747926,32,12000612,2387968,2532656
144.0,118,523,753206,32,12000612,2387968,2615232
145.0,118,527,758486,32,12000612,2387968,2343968
146.0,118,530,763766,32,12000612,2387968,2124608
147.1,118,533,769046,32,12000612,2387968,1958192
148.1,118,537,774246,32,12000612,2387968,2136624
149.1,118,541,779526,32,12000612,2387968,2406960
150.1,118,544,784766,32,12000612,2387968,2523520
151.1,118,549,790086,32,12000612,2387968,2462496
152.2,119,553,795366,32,12000612,2387968,2477680
153.2,119,557,800686,32,12000612,2387968,2397520
154.2,119,561,805886,32,12000612,2387968,2194976
155.2,119,565,811166,32,12000612,2387968,2208368
156.3,119,569,816446,32,12000612,2387968,2200992
157.3,119,572,821766,32,12000612,2387968,2303744
158.3,119,575,827046,32,12000612,2387968,2451616
159.3,119,579,832366,32,12000612,2387968,2472624
160.3,119,582,837566,32,12000612,2387968,2472384
161.4,120,585,842846,32,12000612,2387968,2345120
162.4,120,589,848166,32,12000612,2387968,2445120
163.4,120,592,853466,32,12000612,2387968,2389168
164.4,120,595,858746,32,12000612,2387968,2391072
165.5,120,599,864046,32,12000612,2387968,2453856
166.5,120,603,869326,32,12000612,2387968,2598928
167.5,120,606,874606,32,12000612,2387968,2549376
168.5,120,610,879925,32,12000612,2387968,2426256
169.6,120,614,885166,32,12000612,2387968,2274576
170.6,121,617,890487,32,12000612,2387968,2241424
171.6,121,621,895767,32,12000612,2387968,2248336
172.6,121,624,901047,32,12000612,2387968,2460864
173.6,121,628,906327,32,12000612,2387968,2383744
174.7,122,630,911607,32,12000612,2387968,2294464
175.7,122,634,916927,32,12000612,2387968,2321088
176.7,122,637,922207,32,12000612,2387968,2412480
177.7,122,640,927487,32,12000612,2387968,2463824
178.7,122,644,932767,32,12000612,2387968,2137872
179.8,132,653,943437,1190,12000612,22982656,2095728
180.8,146,654,946793,2094,12000612,22982656,1996448
181.8,155,654,949196,2852,12000612,22982656,1933392
182.8,167,655,952147,3721,12000612,22982656,1912384
183.8,176,660,955066,4576,12000612,22982656,1894128
184.8,192,662,958028,5429,12000612,22982656,1873888
185.9,203,668,960836,6262,12000612,22986752,1877840
186.9,217,668,964016,7187,12000612,22986752,1882992
187.9,229,668,966886,8034,12000612,22986752,1884176
188.9,241,671,969981,8920,12000612,22986752,1881584
189.9,250,674,972939,9821,12000612,22986752,1899072
191.0,262,677,975946,10659,12000612,22986752,1886496
192.0,276,681,978840,11493,12000612,22986752,1884528
193.0,294,683,981792,12357,12000612,22986752,1893360
194.1,307,689,984683,13210,12000612,22986752,1907152
195.1,317,692,987800,14107,12000612,22986752,1900256
196.1,328,695,990725,14969,12000612,22986752,1904400
197.1,340,696,993741,15846,12000612,22986752,1900080
198.1,350,701,996823,16754,12000612,22986752,1903968
199.1,362,705,999802,17606,12000612,22986752,1895952
200.2,375,710,1002796,18492,12000612,22986752,1902080
201.2,393,714,1005592,19299,12000612,22986752,1897760
202.2,405,717,1008088,20046,12000612,22986752,1879584
203.2,420,721,1011220,20816,12000612,22986752,1875168
204.3,438,724,1014381,21579,12000612,22986752,1864144
205.3,447,730,1018058,22862,12000612,22986752,1944288
206.3,461,737,1021204,23819,12000616,23003136,1945040
207.3,476,740,1024223,24689,12000616,23003136,1928112
208.3,489,745,1027315,25546,12000616,23003136,1902912
209.4,497,748,1029642,26243,12000616,23003136,1891360
210.4,504,752,1032568,27136,12000616,23003136,1898192
211.4,513,758,1035417,28006,12000616,23003136,1893376
212.4,524,760,1038267,28844,12000616,23003136,1892256
213.4,535,763,1041269,29762,12000616,23003136,1899440
214.4,547,767,1044341,30596,12000616,23003136,1897728
215.5,560,771,1047775,31454,12000616,23003136,1907776
216.5,571,773,1050852,32292,12000616,23003136,1910624
217.5,579,775,1053501,33017,12000616,23003136,1901888
218.5,590,776,1056733,33863,12000616,23003136,1901632
219.5,601,780,1060071,34705,12000616,23003136,1906176
220.5,611,784,1063063,35573,12000616,23003136,1907168
221.6,624,789,1066048,36453,12000616,23003136,1911168
222.6,635,794,1068821,37322,12000616,23003136,1904864
