model,tier,threads,mode,test,tok_per_s,peak_rss_mb
qwen3-4b,low,4,baseline,pp64,18.55,8192
qwen3-4b,low,4,baseline,tg16,5.70,8192
qwen3-4b,low,4,slim-arc,pp64,16.60,8192
qwen3-4b,low,4,slim-arc,tg16,6.36,8192
olmoe,low,4,baseline,pp64,55.90,8192
olmoe,low,4,baseline,tg16,21.07,8192
olmoe,low,4,slim-arc,pp64,48.74,8192
olmoe,low,4,slim-arc,tg16,18.73,8192
qwen3-4b,mid,6,baseline,pp64,20.84,4099
qwen3-4b,mid,6,baseline,tg16,6.63,4099
qwen3-4b,mid,6,slim-arc,pp64,21.93,4099
qwen3-4b,mid,6,slim-arc,tg16,6.05,4099
olmoe,mid,6,baseline,pp64,42.96,4099
olmoe,mid,6,baseline,tg16,19.22,4099
olmoe,mid,6,slim-arc,pp64,71.86,4099
olmoe,mid,6,slim-arc,tg16,21.89,4099
qwen3-4b,high,8,baseline,pp64,13.31,16384
qwen3-4b,high,8,baseline,tg16,2.56,16384
qwen3-4b,high,8,slim-arc,pp64,14.23,16384
qwen3-4b,high,8,slim-arc,tg16,2.56,16384
olmoe,high,8,baseline,pp64,64.55,16384
olmoe,high,8,baseline,tg16,27.03,16384
olmoe,high,8,slim-arc,pp64,88.21,16384
olmoe,high,8,slim-arc,tg16,23.53,16384
