model,tier,threads,mode,test,tok_per_s,peak_rss_mb
qwen3-4b,low,4,baseline,pp64,23.99,8192
qwen3-4b,low,4,baseline,tg16,9.27,8192
qwen3-4b,low,4,slim-arc,pp64,25.91,8192
qwen3-4b,low,4,slim-arc,tg16,10.31,8192
olmoe,low,4,baseline,pp64,83.40,8192
olmoe,low,4,baseline,tg16,27.75,8192
olmoe,low,4,slim-arc,pp64,84.35,8192
olmoe,low,4,slim-arc,tg16,26.44,8192
qwen3-4b,mid,6,baseline,pp64,26.15,3073
qwen3-4b,mid,6,baseline,tg16,10.23,3073
qwen3-4b,mid,6,slim-arc,pp64,26.21,3073
qwen3-4b,mid,6,slim-arc,tg16,11.02,3073
olmoe,mid,6,baseline,pp64,85.62,3073
olmoe,mid,6,baseline,tg16,23.95,3073
olmoe,mid,6,slim-arc,pp64,70.07,3073
olmoe,mid,6,slim-arc,tg16,26.77,3073
qwen3-4b,high,8,baseline,pp64,28.13,16384
qwen3-4b,high,8,baseline,tg16,9.58,16384
qwen3-4b,high,8,slim-arc,pp64,34.12,16384
qwen3-4b,high,8,slim-arc,tg16,9.89,16384
olmoe,high,8,baseline,pp64,96.54,16384
olmoe,high,8,baseline,tg16,29.74,16384
olmoe,high,8,slim-arc,pp64,95.30,16384
olmoe,high,8,slim-arc,tg16,30.00,16384
